State,AverageTemperature,id,year
Alabama,62.8,1,2020
Alaska,26.6,2,2020
Arizona,60.3,4,2020
Arkansas,60.4,5,2020
California,59.4,6,2020
Colorado,45.1,8,2020
Connecticut,49,9,2020
Delaware,55.3,10,2020
District of Columbia,48.3,11,2020
Florida,70.7,12,2020
Georgia,63.5,13,2020
Hawaii,70,15,2020
Idaho,44.4,16,2020
Illinois,51.8,17,2020
Indiana,51.7,18,2020
Iowa,47.8,19,2020
Kansas,54.3,20,2020
Kentucky,55.6,21,2020
Louisiana,66.4,22,2020
Maine,41,23,2020
Maryland,54.2,24,2020
Massachusetts,47.9,25,2020
Michigan,44.4,26,2020
Minnesota,41.2,27,2020
Mississippi,63.4,28,2020
Missouri,54.6,29,2020
Montana,42.7,30,2020
Nebraska,48.8,31,2020
Nevada,49.9,32,2020
New Hampshire,43.8,33,2020
New Jersey,52.7,34,2020
New Mexico,53.4,35,2020
New York,45.4,36,2020
North Carolina,59,37,2020
North Dakota,40.4,38,2020
Ohio,50.7,39,2020
Oklahoma,59.6,40,2020
Oregon,48.4,41,2020
Pennsylvania,48.8,42,2020
Rhode Island,50.1,44,2020
South Carolina,62.4,45,2020
South Dakota,45.2,46,2020
Tennessee,57.6,47,2020
Texas,64.8,48,2020
Utah,48.6,49,2020
Vermont,42.9,50,2020
Virginia,55.1,51,2020
Washington,48.3,53,2020
West Virginia,51.8,54,2020
Wisconsin,43.1,55,2020
Wyoming,42,56,2020
Alabama,65.4,1,2019
Alaska,31.1,2,2019
Arizona,60.3,4,2019
Arkansas,61.3,5,2019
California,58.4,6,2019
Colorado,45.3,8,2019
Connecticut,49.9,9,2019
Delaware,57.6,10,2019
District of Columbia,47.5,11,2019
Florida,73.2,12,2019
Georgia,66.3,13,2019
Hawaii,71,15,2019
Idaho,43,16,2019
Illinois,52.1,17,2019
Indiana,52.4,18,2019
Iowa,46.9,19,2019
Kansas,53.9,20,2019
Kentucky,57.6,21,2019
Louisiana,67.8,22,2019
Maine,40.7,23,2019
Maryland,56.6,24,2019
Massachusetts,48.7,25,2019
Michigan,44,26,2019
Minnesota,39.3,27,2019
Mississippi,65.1,28,2019
Missouri,55,29,2019
Montana,40,30,2019
Nebraska,47.5,31,2019
Nevada,49.9,32,2019
New Hampshire,43.3,33,2019
New Jersey,54.3,34,2019
New Mexico,54.5,35,2019
New York,45.3,36,2019
North Carolina,61.3,37,2019
North Dakota,38.1,38,2019
Ohio,52.4,39,2019
Oklahoma,59.8,40,2019
Oregon,47.2,41,2019
Pennsylvania,49.9,42,2019
Rhode Island,50.6,44,2019
South Carolina,65.1,45,2019
South Dakota,42.5,46,2019
Tennessee,59.9,47,2019
Texas,65.9,48,2019
Utah,47.9,49,2019
Vermont,41.9,50,2019
Virginia,57.5,51,2019
Washington,46.6,53,2019
West Virginia,54.2,54,2019
Wisconsin,42.1,55,2019
Wyoming,40.4,56,2019
